iso3c,iso2c,country_code,country_name,eu27,un_region_name,un_sub_region_name,un_intermediate_region_name,un_region_clean,un_sub_region_clean,un_intermediate_region_clean,un_developed_or_developing_countries,kingdom,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage,is_cbd_party,wb_income_group,is_cbd_party_1,wb_income_group_1,is_ldc,is_sids
BGR,BG,BG,Bulgaria,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Bacteria,0,5346,13,0,5359,0.0,99.76,0.24,True,High income,True,High income,False,False
MWI,MW,MW,Malawi,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Fungi,21,13,5280,0,5314,0.4,0.24,99.36,True,Low income,True,Low income,True,False
KEN,KE,KE,Kenya,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Viruses,0,0,5263,0,5263,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,False,False
GAB,GA,GA,Gabon,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Bacteria,0,0,5257,0,5257,0.0,0.0,100.0,True,Upper middle income,True,Upper middle income,False,False
IOT,IO,IO,British Indian Ocean Territory,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Chromista,0,0,5251,0,5251,0.0,0.0,100.0,,,,,,
HKG,HK,HK,Hong Kong,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developing,Viruses,0,0,5215,0,5215,0.0,0.0,100.0,,,,,,
SLB,SB,SB,Solomon Islands,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,Fungi,1,1219,3993,0,5213,0.02,23.38,76.6,True,Lower middle income,True,Lower middle income,True,True
PYF,PF,PF,French Polynesia,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Protozoa,0,0,5184,0,5184,0.0,0.0,100.0,,,,,,
NIC,NI,NI,Nicaragua,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,incertae sedis,4102,562,514,0,5178,79.22,10.85,9.93,True,Lower middle income,True,Lower middle income,False,False
BLM,BL,BL,Saint Barthelemy,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Plantae,0,1711,3407,0,5118,0.0,33.43,66.57,,,,,,
IND,IN,IN,India,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Protozoa,59,1,5035,0,5095,1.16,0.02,98.82,True,Lower middle income,True,Lower middle income,False,False
PCN,PN,PN,Pitcairn,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Chromista,0,3,5072,0,5075,0.0,0.06,99.94,,,,,,
JEY,JE,JE,Jersey,FALSE,Europe,Northern Europe,Channel Islands,Europe,Northern-Europe,Channel-Islands,Developed,Chromista,0,4710,347,0,5057,0.0,93.14,6.86,,,,,,
SYR,SY,SY,Syrian Arab Republic,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Fungi,0,24,5018,0,5042,0.0,0.48,99.52,True,Low income,True,Low income,False,False
ROU,RO,RO,Romania,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Chromista,0,3161,1875,0,5036,0.0,62.77,37.23,True,High income,True,High income,False,False
FLK,FK,FK,Falkland Islands (Malvinas),FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Chromista,0,215,4812,0,5027,0.0,4.28,95.72,,,,,,
KEN,KE,KE,Kenya,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Chromista,2355,95,2563,0,5013,46.98,1.9,51.13,True,Lower middle income,True,Lower middle income,False,False
BMU,BM,BM,Bermuda,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,incertae sedis,0,620,4359,0,4979,0.0,12.45,87.55,,,,,,
KEN,KE,KE,Kenya,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Protozoa,0,0,4969,0,4969,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,False,False
MYT,YT,YT,Mayotte,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Chromista,0,0,4933,0,4933,0.0,0.0,100.0,,,,,,
IND,IN,IN,India,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Archaea,0,1,4889,0,4890,0.0,0.02,99.98,True,Lower middle income,True,Lower middle income,False,False
MUS,MU,MU,Mauritius,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Chromista,0,7,4881,0,4888,0.0,0.14,99.86,True,Upper middle income,True,Upper middle income,False,True
SGS,GS,GS,South Georgia and the South Sandwich Islands,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,incertae sedis,0,1563,3247,0,4810,0.0,32.49,67.51,,,,,,
SLV,SV,SV,El Salvador,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Fungi,0,1921,2874,0,4795,0.0,40.06,59.94,True,Upper middle income,True,Upper middle income,False,False
ISR,IL,IL,Israel,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,incertae sedis,1276,0,3503,0,4779,26.7,0.0,73.3,True,High income,True,High income,False,False
BEN,BJ,BJ,Benin,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Viruses,4277,0,490,0,4767,89.72,0.0,10.28,True,Lower middle income,True,Lower middle income,True,False
KGZ,KG,KG,Kyrgyzstan,FALSE,Asia,Central Asia,,Asia,Central-Asia,,Developing,Chromista,0,2,4762,0,4764,0.0,0.04,99.96,True,Lower middle income,True,Lower middle income,False,False
REU,RE,RE,Reunion,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Bacteria,0,0,4760,0,4760,0.0,0.0,100.0,,,,,,
SGP,SG,SG,Singapore,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Fungi,0,25,4728,0,4753,0.0,0.53,99.47,True,High income,True,High income,False,True
CHL,CL,CL,Chile,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Viruses,0,2,4731,0,4733,0.0,0.04,99.96,True,High income,True,High income,False,False
FIN,FI,FI,Finland,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Archaea,0,4722,0,0,4722,0.0,100.0,0.0,True,High income,True,High income,False,False
GAB,GA,GA,Gabon,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Chromista,0,24,4691,0,4715,0.0,0.51,99.49,True,Upper middle income,True,Upper middle income,False,False
CXR,CX,CX,Christmas Island,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Plantae,0,2331,2349,0,4680,0.0,49.81,50.19,,,,,,
OMN,OM,OM,Oman,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,incertae sedis,0,0,4640,0,4640,0.0,0.0,100.0,True,High income,True,High income,False,False
ASM,AS,AS,American Samoa,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Fungi,0,178,4438,0,4616,0.0,3.86,96.14,,,,,,
SGS,GS,GS,South Georgia and the South Sandwich Islands,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Fungi,0,85,4520,0,4605,0.0,1.85,98.15,,,,,,
CMR,CM,CM,Cameroon,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,incertae sedis,2,2,4572,0,4576,0.04,0.04,99.91,True,Lower middle income,True,Lower middle income,False,False
THA,TH,TH,Thailand,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Protozoa,0,1,4568,0,4569,0.0,0.02,99.98,True,Upper middle income,True,Upper middle income,False,False
LBN,LB,LB,Lebanon,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,incertae sedis,0,4,4542,0,4546,0.0,0.09,99.91,True,Lower middle income,True,Lower middle income,False,False
FJI,FJ,FJ,Fiji,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,Chromista,443,81,4017,0,4541,9.76,1.78,88.46,True,Upper middle income,True,Upper middle income,False,True
NCL,NC,NC,New Caledonia,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,Bacteria,0,89,4447,0,4536,0.0,1.96,98.04,,,,,,
NRU,NR,NR,Nauru,FALSE,Oceania,Micronesia,,Oceania,Micronesia,,Developing,Animalia,0,3781,747,0,4528,0.0,83.5,16.5,True,High income,True,High income,False,True
BLZ,BZ,BZ,Belize,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Fungi,0,3129,1389,0,4518,0.0,69.26,30.74,True,Upper middle income,True,Upper middle income,False,True
URY,UY,UY,Uruguay,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Bacteria,0,3160,1346,0,4506,0.0,70.13,29.87,True,High income,True,High income,False,False
GLP,GP,GP,Guadeloupe,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Bacteria,0,54,4449,0,4503,0.0,1.2,98.8,,,,,,
UGA,UG,UG,Uganda,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Bacteria,0,0,4463,0,4463,0.0,0.0,100.0,True,Low income,True,Low income,True,False
BRB,BB,BB,Barbados,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Chromista,0,1280,3166,0,4446,0.0,28.79,71.21,True,High income,True,High income,False,True
ITA,IT,IT,Italy,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Archaea,0,4382,54,0,4436,0.0,98.78,1.22,True,High income,True,High income,False,False
KAZ,KZ,KZ,Kazakhstan,FALSE,Asia,Central Asia,,Asia,Central-Asia,,Developing,Fungi,1,42,4371,0,4414,0.02,0.95,99.03,True,Upper middle income,True,Upper middle income,False,False
KGZ,KG,KG,Kyrgyzstan,FALSE,Asia,Central Asia,,Asia,Central-Asia,,Developing,Bacteria,0,0,4413,0,4413,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,False,False
DJI,DJ,DJ,Djibouti,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Plantae,0,8,4380,0,4388,0.0,0.18,99.82,True,Lower middle income,True,Lower middle income,True,False
MTQ,MQ,MQ,Martinique,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Fungi,0,601,3782,0,4383,0.0,13.71,86.29,,,,,,
FJI,FJ,FJ,Fiji,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,incertae sedis,1453,755,2145,0,4353,33.38,17.34,49.28,True,Upper middle income,True,Upper middle income,False,True
GRD,GD,GD,Grenada,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Chromista,0,122,4161,0,4283,0.0,2.85,97.15,True,Upper middle income,True,Upper middle income,False,True
CHE,CH,CH,Switzerland,FALSE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Archaea,0,4270,0,0,4270,0.0,100.0,0.0,True,High income,True,High income,False,False
RWA,RW,RW,Rwanda,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Bacteria,0,0,4261,0,4261,0.0,0.0,100.0,True,Low income,True,Low income,True,False
ARG,AR,AR,Argentina,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Viruses,0,15,4210,0,4225,0.0,0.36,99.64,True,Upper middle income,True,Upper middle income,False,False
MLT,MT,MT,Malta,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Chromista,0,4155,60,0,4215,0.0,98.58,1.42,True,High income,True,High income,False,False
SDN,SD,SD,Sudan,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,Fungi,0,0,4178,0,4178,0.0,0.0,100.0,True,Low income,True,Low income,True,False
UMI,UM,UM,United States Minor Outlying Islands,FALSE,Oceania,Micronesia,,Oceania,Micronesia,,Developing,Plantae,0,10,4157,0,4167,0.0,0.24,99.76,,,,,,
IRQ,IQ,IQ,Iraq,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Fungi,0,22,4139,0,4161,0.0,0.53,99.47,True,Upper middle income,True,Upper middle income,False,False
UMI,UM,UM,United States Minor Outlying Islands,FALSE,Oceania,Micronesia,,Oceania,Micronesia,,Developing,Chromista,0,3,4142,0,4145,0.0,0.07,99.93,,,,,,
NIU,NU,NU,Niue,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,incertae sedis,0,11,4124,0,4135,0.0,0.27,99.73,True,High income,True,High income,False,True
TKL,TK,TK,Tokelau,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Protozoa,0,0,4120,0,4120,0.0,0.0,100.0,,,,,,
MHL,MH,MH,Marshall Islands,FALSE,Oceania,Micronesia,,Oceania,Micronesia,,Developing,incertae sedis,0,2,4109,0,4111,0.0,0.05,99.95,True,Upper middle income,True,Upper middle income,False,True
ESP,ES,ES,Spain,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Archaea,883,3172,32,0,4087,21.61,77.61,0.78,True,High income,True,High income,False,False
PYF,PF,PF,French Polynesia,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,incertae sedis,0,106,3979,0,4085,0.0,2.59,97.41,,,,,,
UGA,UG,UG,Uganda,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,incertae sedis,16,3,4057,0,4076,0.39,0.07,99.53,True,Low income,True,Low income,True,False
FJI,FJ,FJ,Fiji,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,Bacteria,267,46,3756,0,4069,6.56,1.13,92.31,True,Upper middle income,True,Upper middle income,False,True
GGY,GG,GG,Guernsey,FALSE,Europe,Northern Europe,Channel Islands,Europe,Northern-Europe,Channel-Islands,Developed,Chromista,0,4018,49,0,4067,0.0,98.8,1.2,,,,,,
CIV,CI,CI,Cote d'Ivoire,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Chromista,1559,12,2488,0,4059,38.41,0.3,61.3,True,Lower middle income,True,Lower middle income,False,False
NFK,NF,NF,Norfolk Island,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Bacteria,0,22,3990,0,4012,0.0,0.55,99.45,,,,,,
VAT,VA,VA,Holy See (Vatican City State),FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,0,412,3556,0,3968,0.0,10.38,89.62,,,,,,
IDN,ID,ID,Indonesia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Viruses,0,0,3947,0,3947,0.0,0.0,100.0,True,Upper middle income,True,Upper middle income,False,False
BOL,BO,BO,"Bolivia, Plurinational State of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,incertae sedis,0,1351,2584,0,3935,0.0,34.33,65.67,True,Lower middle income,True,Lower middle income,False,False
AND,AD,AD,Andorra,FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Fungi,3027,791,103,1,3922,77.18,20.17,2.63,True,High income,True,High income,False,False
TKL,TK,TK,Tokelau,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,incertae sedis,0,1,3856,0,3857,0.0,0.03,99.97,,,,,,
MNG,MN,MN,Mongolia,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developing,Fungi,0,15,3839,0,3854,0.0,0.39,99.61,True,Upper middle income,True,Upper middle income,False,False
ZWE,ZW,ZW,Zimbabwe,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Bacteria,0,0,3853,0,3853,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,False,False
CUB,CU,CU,Cuba,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Protozoa,0,2308,1544,0,3852,0.0,59.92,40.08,True,Upper middle income,True,Upper middle income,False,True
ATA,AQ,AQ,Antarctica,FALSE,,,,,,,,Archaea,0,0,3847,0,3847,0.0,0.0,100.0,,,,,,
SGP,SG,SG,Singapore,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,incertae sedis,0,8,3823,0,3831,0.0,0.21,99.79,True,High income,True,High income,False,True
DNK,DK,DK,Denmark,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Archaea,0,3818,0,0,3818,0.0,100.0,0.0,True,High income,True,High income,False,False
DNK,DK,DK,Denmark,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Viruses,0,3775,9,0,3784,0.0,99.76,0.24,True,High income,True,High income,False,False
NAM,NA,,Namibia,FALSE,Africa,Sub-Saharan Africa,Southern Africa,Africa,Sub-Saharan-Africa,Southern-Africa,Developing,incertae sedis,0,156,3627,0,3783,0.0,4.12,95.88,True,Lower middle income,True,Lower middle income,False,False
ROU,RO,RO,Romania,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Bacteria,0,3654,114,0,3768,0.0,96.97,3.03,True,High income,True,High income,False,False
ECU,EC,EC,Ecuador,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Protozoa,12,414,3324,0,3750,0.32,11.04,88.64,True,Upper middle income,True,Upper middle income,False,False
EGY,EG,EG,Egypt,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,incertae sedis,0,0,3745,0,3745,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,False,False
SDN,SD,SD,Sudan,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,Chromista,0,0,3738,0,3738,0.0,0.0,100.0,True,Low income,True,Low income,True,False
VNM,VN,VN,Viet Nam,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,incertae sedis,0,9,3668,0,3677,0.0,0.24,99.76,True,Lower middle income,True,Lower middle income,False,False
ATF,TF,TF,French Southern Territories,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,incertae sedis,0,0,3641,0,3641,0.0,0.0,100.0,,,,,,
SSD,SS,SS,South Sudan,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Plantae,0,3,3592,0,3595,0.0,0.08,99.92,True,Low income,True,Low income,True,False
SGP,SG,SG,Singapore,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Bacteria,0,2,3574,0,3576,0.0,0.06,99.94,True,High income,True,High income,False,True
BEL,BE,BE,Belgium,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Viruses,0,3553,8,0,3561,0.0,99.78,0.22,True,High income,True,High income,False,False
GLP,GP,GP,Guadeloupe,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,incertae sedis,0,110,3448,0,3558,0.0,3.09,96.91,,,,,,
DZA,DZ,DZ,Algeria,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,incertae sedis,0,1,3549,0,3550,0.0,0.03,99.97,True,Upper middle income,True,Upper middle income,False,False
GEO,GE,GE,Georgia,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Bacteria,0,0,3546,0,3546,0.0,0.0,100.0,True,Upper middle income,True,Upper middle income,False,False
CPV,CV,CV,Cabo Verde,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Fungi,0,8,3515,0,3523,0.0,0.23,99.77,True,Upper middle income,True,Upper middle income,False,True
PER,PE,PE,Peru,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Protozoa,0,433,3086,0,3519,0.0,12.3,87.7,True,Upper middle income,True,Upper middle income,False,False
,,,,,,,,,,,,Plantae,0,0,3510,0,3510,0.0,0.0,100.0,,,,,,
TWN,TW,TW,"Taiwan, Province of China",FALSE,,,,,,,,Protozoa,893,0,2617,0,3510,25.44,0.0,74.56,,,,,,
NIC,NI,NI,Nicaragua,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Fungi,0,2710,783,0,3493,0.0,77.58,22.42,True,Lower middle income,True,Lower middle income,False,False
ARM,AM,AM,Armenia,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Fungi,128,1,3284,0,3413,3.75,0.03,96.22,True,Upper middle income,True,Upper middle income,False,False
PCN,PN,PN,Pitcairn,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Plantae,0,375,3014,0,3389,0.0,11.07,88.93,,,,,,
,,,,,,,,,,,,Animalia,0,0,3350,0,3350,0.0,0.0,100.0,,,,,,
GUF,GF,GF,French Guiana,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Chromista,0,46,3291,0,3337,0.0,1.38,98.62,,,,,,
NFK,NF,NF,Norfolk Island,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Fungi,0,2510,815,0,3325,0.0,75.49,24.51,,,,,,
HTI,HT,HT,Haiti,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Fungi,0,2963,356,0,3319,0.0,89.27,10.73,True,Lower middle income,True,Lower middle income,True,True
PCN,PN,PN,Pitcairn,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Bacteria,0,0,3316,0,3316,0.0,0.0,100.0,,,,,,
MNE,ME,ME,Montenegro,FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Bacteria,0,3268,42,0,3310,0.0,98.73,1.27,True,Upper middle income,True,Upper middle income,False,False
ARE,AE,AE,United Arab Emirates,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Fungi,0,0,3286,0,3286,0.0,0.0,100.0,True,High income,True,High income,False,False
FRA,FR,FR,France,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Archaea,1,3271,2,0,3274,0.03,99.91,0.06,True,High income,True,High income,False,False
ISR,IL,IL,Israel,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Viruses,0,0,3250,0,3250,0.0,0.0,100.0,True,High income,True,High income,False,False
CUB,CU,CU,Cuba,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Bacteria,0,288,2929,0,3217,0.0,8.95,91.05,True,Upper middle income,True,Upper middle income,False,True
IOT,IO,IO,British Indian Ocean Territory,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Plantae,0,8,3200,0,3208,0.0,0.25,99.75,,,,,,
COL,CO,CO,Colombia,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Archaea,3083,4,120,0,3207,96.13,0.12,3.74,True,Upper middle income,True,Upper middle income,False,False
BHS,BS,BS,Bahamas,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,incertae sedis,0,1296,1898,0,3194,0.0,40.58,59.42,True,High income,True,High income,False,True
BGD,BD,BD,Bangladesh,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Bacteria,0,3,3182,0,3185,0.0,0.09,99.91,True,Lower middle income,True,Lower middle income,True,False
SDN,SD,SD,Sudan,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,Bacteria,0,0,3182,0,3182,0.0,0.0,100.0,True,Low income,True,Low income,True,False
HUN,HU,HU,Hungary,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,incertae sedis,0,2232,944,0,3176,0.0,70.28,29.72,True,High income,True,High income,False,False
JAM,JM,JM,Jamaica,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,incertae sedis,7,693,2472,0,3172,0.22,21.85,77.93,True,Upper middle income,True,Upper middle income,False,True
NIU,NU,NU,Niue,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Protozoa,0,1,3166,0,3167,0.0,0.03,99.97,True,High income,True,High income,False,True
ATF,TF,TF,French Southern Territories,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Fungi,0,0,3161,0,3161,0.0,0.0,100.0,,,,,,
COK,CK,CK,Cook Islands,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Chromista,0,46,3114,0,3160,0.0,1.46,98.54,True,High income,True,High income,False,True
SVN,SI,SI,Slovenia,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,incertae sedis,109,2536,495,0,3140,3.47,80.76,15.76,True,High income,True,High income,False,False
QAT,QA,QA,Qatar,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,incertae sedis,0,0,3137,0,3137,0.0,0.0,100.0,True,High income,True,High income,False,False
TKL,TK,TK,Tokelau,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Animalia,0,538,2597,0,3135,0.0,17.16,82.84,,,,,,
LTU,LT,LT,Lithuania,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,incertae sedis,0,2959,172,0,3131,0.0,94.51,5.49,True,High income,True,High income,False,False
MMR,MM,MM,Myanmar,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Bacteria,0,0,3118,0,3118,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,True,False
TON,TO,TO,Tonga,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Chromista,0,28,3047,0,3075,0.0,0.91,99.09,True,Upper middle income,True,Upper middle income,False,True
GTM,GT,GT,Guatemala,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,incertae sedis,521,855,1668,0,3044,17.12,28.09,54.8,True,Upper middle income,True,Upper middle income,False,False
CMR,CM,CM,Cameroon,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Viruses,0,0,3043,0,3043,0.0,0.0,100.0,True,Lower middle income,True,Lower middle income,False,False
UGA,UG,UG,Uganda,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Viruses,0,0,3040,0,3040,0.0,0.0,100.0,True,Low income,True,Low income,True,False
