iso3c,iso2c,country_code,country_name,eu27,un_region_name,un_sub_region_name,un_intermediate_region_name,un_region_clean,un_sub_region_clean,un_intermediate_region_clean,un_developed_or_developing_countries,kingdom,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage,is_cbd_party,wb_income_group,is_cbd_party_1,wb_income_group_1,is_ldc,is_sids
WLF,WF,WF,Wallis and Futuna,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Animalia,77,9490,32531,0,42098,0.18,22.54,77.27,,,,,,
VEN,VE,VE,"Venezuela, Bolivarian Republic of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Chromista,27174,8354,6178,0,41706,65.16,20.03,14.81,True,Lower middle income,True,Lower middle income,False,False
VEN,VE,VE,"Venezuela, Bolivarian Republic of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Fungi,10,27766,13775,0,41551,0.02,66.82,33.15,True,Lower middle income,True,Lower middle income,False,False
RUS,RU,RU,Russian Federation,FALSE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Protozoa,20673,3441,17364,0,41478,49.84,8.3,41.86,True,High income,True,High income,False,False
GIB,GI,GI,Gibraltar,FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,0,20057,21128,0,41185,0.0,48.7,51.3,,,,,,
KNA,KN,KN,Saint Kitts and Nevis,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,0,38375,2033,0,40408,0.0,94.97,5.03,True,High income,True,High income,False,False
BHS,BS,BS,Bahamas,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Chromista,0,2865,37507,0,40372,0.0,7.1,92.9,True,High income,True,High income,False,True
BEN,BJ,BJ,Benin,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Fungi,2145,685,37308,0,40138,5.34,1.71,92.95,True,Lower middle income,True,Lower middle income,True,False
ASM,AS,AS,American Samoa,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Chromista,0,31,39981,0,40012,0.0,0.08,99.92,,,,,,
FRO,FO,FO,Faroe Islands,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,0,32105,7580,0,39685,0.0,80.9,19.1,,,,,,
