lat,lon,source_type,record_count
-2.6,-44.3,REGIONAL,678
-28.0,-48.6,REGIONAL,673
-22.8,-43.5,REGIONAL,671
-23.6,-45.3,INTERNAL,669
-23.0,-43.1,INTERNAL,669
-23.0,-43.0,REGIONAL,668
-3.9,-38.6,REGIONAL,667
-10.0,-67.8,REGIONAL,667
-26.4,-48.7,INTERNAL,663
-22.4,-44.5,REGIONAL,661
-23.1,-47.2,REGIONAL,659
-29.5,-50.2,REGIONAL,659
-23.2,-47.0,REGIONAL,658
-22.9,-46.9,INTERNAL,657
-22.9,-43.2,EXTERNAL,653
-27.0,-49.1,REGIONAL,653
-1.4,-48.4,REGIONAL,649
-9.8,-56.1,REGIONAL,647
-20.4,-40.3,INTERNAL,646
-17.4,-56.8,REGIONAL,645
-25.3,-48.4,INTERNAL,644
-24.1,-48.0,INTERNAL,640
-26.9,-49.0,REGIONAL,639
-22.9,-42.5,INTERNAL,637
-15.6,-48.0,REGIONAL,636
1.1,-52.6,INTERNAL,636
-22.4,-49.7,INTERNAL,630
-18.7,-39.9,REGIONAL,629
-15.9,-48.0,REGIONAL,629
-23.8,-45.9,INTERNAL,625
-20.8,-49.4,INTERNAL,624
-23.7,-45.2,INTERNAL,622
-23.5,-46.7,EXTERNAL,622
-1.5,-48.5,REGIONAL,620
-22.9,-43.5,REGIONAL,620
1.9,-30.0,EXTERNAL,618
-20.9,-40.8,INTERNAL,613
-23.7,-46.4,REGIONAL,610
-20.9,-40.7,INTERNAL,609
-18.9,-48.3,REGIONAL,605
-26.6,-49.4,REGIONAL,604
-20.7,-40.5,REGIONAL,602
-7.0,-35.7,REGIONAL,592
-22.4,-42.7,EXTERNAL,591
-23.0,-43.2,EXTERNAL,590
-25.8,-48.6,INTERNAL,589
-23.2,-45.9,REGIONAL,588
-25.8,-53.5,REGIONAL,582
-2.1,-59.0,INTERNAL,581
-25.6,-54.6,REGIONAL,580
-9.2,-35.9,REGIONAL,580
-24.2,-47.4,REGIONAL,578
-22.4,-42.8,EXTERNAL,577
-27.4,-48.4,REGIONAL,576
-22.6,-50.4,INTERNAL,567
-22.7,-47.6,REGIONAL,567
-9.2,-57.0,INTERNAL,566
-23.6,-46.8,REGIONAL,560
-22.5,-44.6,REGIONAL,560
-4.5,-37.8,EXTERNAL,559
-23.7,-46.8,INTERNAL,557
-22.4,-43.2,REGIONAL,557
-4.2,-38.9,REGIONAL,551
-2.5,-44.2,REGIONAL,549
-22.4,-44.7,REGIONAL,543
-8.6,-37.4,INTERNAL,542
-23.5,-46.6,INTERNAL,542
-19.0,-50.5,INTERNAL,540
-26.9,-48.7,REGIONAL,538
-28.7,-53.6,REGIONAL,537
-25.7,-54.5,REGIONAL,537
-8.0,-34.9,REGIONAL,532
-2.5,-54.9,REGIONAL,531
-4.9,-36.1,INTERNAL,530
-25.3,-48.3,INTERNAL,530
-26.3,-48.5,INTERNAL,527
-15.6,-56.1,REGIONAL,524
-5.8,-35.2,REGIONAL,522
-21.2,-48.3,REGIONAL,521
-22.8,-41.9,REGIONAL,520
-26.3,-48.7,INTERNAL,519
-12.4,-54.9,REGIONAL,518
-25.5,-48.4,INTERNAL,518
-22.6,-49.0,INTERNAL,516
-22.8,-46.9,INTERNAL,513
-12.9,-38.4,REGIONAL,512
-23.2,-44.7,REGIONAL,512
-30.4,-50.4,INTERNAL,511
-16.4,-56.6,REGIONAL,509
-25.4,-49.3,EXTERNAL,506
-8.8,-35.1,INTERNAL,506
-29.4,-50.4,REGIONAL,506
-3.8,-38.6,REGIONAL,505
-23.9,-45.2,INTERNAL,505
-16.7,-43.9,REGIONAL,502
-27.1,-49.1,REGIONAL,499
-7.2,-34.9,REGIONAL,498
-27.6,-48.5,INTERNAL,497
-24.4,-47.0,REGIONAL,497
-22.4,-43.9,INTERNAL,496
-23.5,-46.6,EXTERNAL,494
-8.5,-37.4,INTERNAL,493
-20.3,-49.2,INTERNAL,493
-2.5,-44.3,REGIONAL,492
-21.3,-47.9,INTERNAL,492
-7.4,-36.4,REGIONAL,492
-27.6,-48.4,REGIONAL,492
-20.4,-43.5,REGIONAL,491
-20.1,-56.0,REGIONAL,490
-29.5,-52.0,REGIONAL,487
-8.5,-35.0,REGIONAL,486
-23.2,-44.8,REGIONAL,482
-21.7,-41.3,REGIONAL,481
-23.8,-46.0,REGIONAL,481
-23.3,-45.2,INTERNAL,480
-2.6,-60.9,REGIONAL,480
-4.3,-38.9,REGIONAL,479
-23.8,-46.5,REGIONAL,476
-23.2,-46.9,INTERNAL,476
-23.7,-45.3,INTERNAL,475
-28.4,-48.8,REGIONAL,474
-23.3,-44.8,INTERNAL,471
-22.7,-45.5,INTERNAL,471
-7.9,-34.9,REGIONAL,470
-20.8,-41.5,REGIONAL,469
-27.9,-48.6,REGIONAL,469
-14.3,-39.0,REGIONAL,463
-24.6,-48.6,REGIONAL,462
-27.9,-51.3,REGIONAL,462
-22.4,-42.7,REGIONAL,461
-3.2,-39.2,REGIONAL,460
-22.4,-43.0,REGIONAL,459
-27.7,-48.6,INTERNAL,457
-19.8,-44.0,REGIONAL,455
-10.7,-37.4,EXTERNAL,455
-27.2,-49.6,REGIONAL,454
-19.8,-43.9,REGIONAL,451
-22.9,-43.0,REGIONAL,451
2.8,-60.7,REGIONAL,450
-23.6,-46.6,INTERNAL,449
-23.5,-47.1,REGIONAL,449
-23.9,-45.5,INTERNAL,448
-14.1,-47.5,REGIONAL,447
-25.8,-48.5,REGIONAL,446
-19.9,-40.5,REGIONAL,446
-28.0,-49.6,REGIONAL,446
-27.1,-51.9,REGIONAL,444
-21.6,-47.8,INTERNAL,444
-5.7,-36.2,EXTERNAL,441
-25.3,-48.2,INTERNAL,439
-27.4,-48.5,REGIONAL,439
-22.6,-43.3,REGIONAL,438
-29.2,-51.2,REGIONAL,436
-23.4,-46.7,REGIONAL,436
-9.9,-62.8,REGIONAL,435
-18.8,-41.9,REGIONAL,434
-15.8,-48.8,REGIONAL,434
-4.8,-36.7,INTERNAL,433
-29.4,-50.9,REGIONAL,433
-18.0,-38.7,EXTERNAL,432
-23.6,-46.9,INTERNAL,425
-5.3,-35.4,INTERNAL,423
-29.0,-51.4,REGIONAL,422
-31.8,-52.3,REGIONAL,421
-31.8,-52.4,REGIONAL,418
-3.4,-64.7,REGIONAL,417
-28.6,-49.5,REGIONAL,417
-22.7,-46.9,REGIONAL,415
-23.7,-46.8,REGIONAL,414
-19.6,-57.0,REGIONAL,412
-25.5,-43.5,EXTERNAL,411
-21.8,-43.4,REGIONAL,408
-23.0,-47.1,REGIONAL,408
-28.2,-48.7,REGIONAL,408
-27.6,-48.5,EXTERNAL,407
-27.5,-48.5,REGIONAL,406
-25.6,-54.4,REGIONAL,402
-19.9,-44.1,REGIONAL,402
-26.3,-48.9,INTERNAL,400
-7.0,-36.8,REGIONAL,400
