lat,lon,source_type,record_count,countrycode,country_name,wb_income_group
-11.5,-42.6,EXTERNAL,1279,BR,Brazil,Upper middle income
-22.9,-43.1,REGIONAL,1279,BR,Brazil,Upper middle income
-23.6,-46.7,EXTERNAL,1256,BR,Brazil,Upper middle income
-25.9,-48.6,INTERNAL,1243,BR,Brazil,Upper middle income
-23.6,-46.7,INTERNAL,1227,BR,Brazil,Upper middle income
-21.0,-42.0,REGIONAL,1224,BR,Brazil,Upper middle income
-0.9,-44.3,INTERNAL,1218,XX,Unknown,Not classified
-15.8,-48.1,REGIONAL,1217,BR,Brazil,Upper middle income
-22.5,-43.0,REGIONAL,1210,BR,Brazil,Upper middle income
-26.9,-48.6,REGIONAL,1208,BR,Brazil,Upper middle income
-23.4,-44.7,INTERNAL,1207,XX,Unknown,Not classified
-23.0,-43.4,REGIONAL,1202,BR,Brazil,Upper middle income
-20.5,-41.0,REGIONAL,1199,BR,Brazil,Upper middle income
-27.1,-48.8,REGIONAL,1197,BR,Brazil,Upper middle income
-22.8,-51.2,INTERNAL,1184,BR,Brazil,Upper middle income
-22.4,-42.8,REGIONAL,1178,BR,Brazil,Upper middle income
-26.2,-48.8,INTERNAL,1163,BR,Brazil,Upper middle income
-23.8,-45.4,REGIONAL,1159,BR,Brazil,Upper middle income
-28.1,-51.2,REGIONAL,1155,BR,Brazil,Upper middle income
-13.0,-38.5,REGIONAL,1154,BR,Brazil,Upper middle income
-24.3,-46.2,INTERNAL,1152,XX,Unknown,Not classified
-23.2,-45.0,INTERNAL,1145,BR,Brazil,Upper middle income
-20.7,-38.6,EXTERNAL,1121,XX,Unknown,Not classified
-25.6,-43.5,EXTERNAL,1106,XX,Unknown,Not classified
-23.2,-45.3,INTERNAL,1098,BR,Brazil,Upper middle income
-3.7,-38.5,REGIONAL,1097,XX,Unknown,Not classified
0.0,0.0,REGIONAL,1092,XX,Unknown,Not classified
-20.0,-43.9,REGIONAL,1092,BR,Brazil,Upper middle income
-3.9,-32.4,INTERNAL,1090,XX,Unknown,Not classified
-22.5,-43.1,REGIONAL,1082,BR,Brazil,Upper middle income
-23.0,-43.5,REGIONAL,1072,BR,Brazil,Upper middle income
-23.1,-46.6,REGIONAL,1072,BR,Brazil,Upper middle income
-15.6,-47.7,INTERNAL,1069,BR,Brazil,Upper middle income
-22.9,-51.0,INTERNAL,1056,BR,Brazil,Upper middle income
-6.0,-35.1,EXTERNAL,1052,BR,Brazil,Upper middle income
-20.5,-54.6,REGIONAL,1047,BR,Brazil,Upper middle income
-16.5,-56.7,REGIONAL,1042,BR,Brazil,Upper middle income
-22.8,-51.5,INTERNAL,1040,BR,Brazil,Upper middle income
-4.8,-36.6,INTERNAL,1039,XX,Unknown,Not classified
-23.4,-51.3,INTERNAL,1035,BR,Brazil,Upper middle income
-24.0,-46.7,INTERNAL,1033,BR,Brazil,Upper middle income
