original_key,resolved_name,resolved_country,type,__index_level_0__
349a476d-703f-41b5-9ea2-826bd9871bd6,Lebanon Reforestation Initiative,LB,organization,112
Lebanon Reforestation Initiative,Lebanon Reforestation Initiative,LB,rightsholder,113
34f6edc7-040b-4354-af86-75d898dd96a3,Formosan Golden Bat's Home,TW,organization,114
Formosan Golden Bat's Home,Formosan Golden Bat's Home,TW,rightsholder,115
95c2411e-2dfb-435b-977a-3a51173f8eab,Atlanta Botanical Garden,US,organization,116
Atlanta Botanical Garden,Atlanta Botanical Garden,US,rightsholder,117
8a46109a-2815-4b91-9950-efcce40e6c76,Universidad Autónoma de Chiriquí (UNACHI),PA,organization,118
Universidad Autónoma de Chiriquí (UNACHI),Universidad Autónoma de Chiriquí (UNACHI),PA,rightsholder,119
7fd3fb90-83ec-408c-a6e6-dfad116fdc61,Vincent Wildlife Trust,GB,organization,120
Vincent Wildlife Trust,Vincent Wildlife Trust,GB,rightsholder,121
8f6e5296-c1f6-427f-b289-bf62812e646e,Sociedad Ibérica para la Conservación y Estudio de los Mamíferos (SECEM),ES,organization,122
Sociedad Ibérica para la Conservación y Estudio de los Mamíferos (SECEM),Sociedad Ibérica para la Conservación y Estudio de los Mamíferos (SECEM),ES,rightsholder,123
5a863641-618b-4821-9040-a86ff65c6b7c,Fungus Conservation Trust,GB,organization,124
Fungus Conservation Trust,Fungus Conservation Trust,GB,rightsholder,125
6e618858-4e7f-446a-a899-8fd5a52d130d,Department of Forestry and Natural Environment,GR,organization,126
Department of Forestry and Natural Environment,Department of Forestry and Natural Environment,GR,rightsholder,127
cc6b8515-4e36-4cdf-9491-64ec0f5bb0d9,Himalayan Nature & Adventure Foundation,IN,organization,128
Himalayan Nature & Adventure Foundation,Himalayan Nature & Adventure Foundation,IN,rightsholder,129
cef27ff3-4470-435f-a6e0-e0644d6b46b9,Lund University Botanical Garden,SE,organization,130
Lund University Botanical Garden,Lund University Botanical Garden,SE,rightsholder,131
8d7da825-523e-4c22-ac4e-d928a5520bcc,People's Action for Rural Development,PG,organization,132
People's Action for Rural Development,People's Action for Rural Development,PG,rightsholder,133
a44dc69b-20db-4da9-812b-7d8c7315d63d,George F. Ledingham Herbarium,CA,organization,134
George F. Ledingham Herbarium,George F. Ledingham Herbarium,CA,rightsholder,135
da1062ae-1896-4d98-b37d-9882371cc2ee,Mycota,US,organization,136
Mycota,Mycota,US,rightsholder,137
c3948fec-9ba8-4dc8-9cab-0655975f7c45,Herbarium Universitatis Ticinensis - PAV,IT,organization,138
Herbarium Universitatis Ticinensis - PAV,Herbarium Universitatis Ticinensis - PAV,IT,rightsholder,139
7bfbfd0b-0800-40af-a5e8-938414346903,University of Innsbruck,AT,organization,140
University of Innsbruck,University of Innsbruck,AT,rightsholder,141
c02486e8-eb54-4e94-81d8-1038cc58e208,GainForest,CH,organization,142
GainForest,GainForest,CH,rightsholder,143
e3fd1f0b-ac71-46f9-8f05-7e144a271882,Institute of Water and Ecological Problems FEB RAS,RU,organization,144
Institute of Water and Ecological Problems FEB RAS,Institute of Water and Ecological Problems FEB RAS,RU,rightsholder,145
4bb36ff2-2745-4bcc-9441-fef01c2dff8f,FaunaMap,NL,organization,146
FaunaMap,FaunaMap,NL,rightsholder,147
97eb0510-1f28-4050-ad09-a7efac12d406,Department of Zoology and Conservation,VN,organization,148
Department of Zoology and Conservation,Department of Zoology and Conservation,VN,rightsholder,149
83e4aa5c-7612-4a93-9d54-80ed52fc44f8,Norwegian Institute for Water Research (NIVA),NO,organization,150
Norwegian Institute for Water Research (NIVA),Norwegian Institute for Water Research (NIVA),NO,rightsholder,151
120026ce-9763-4722-a40b-2b191a53b2d7,Colección Vertebrada de Nicaragua,NI,organization,152
Colección Vertebrada de Nicaragua,Colección Vertebrada de Nicaragua,NI,rightsholder,153
f68bf7b3-94c8-4f92-bcbe-fa597b4fade3,QUAMPO,FR,organization,154
QUAMPO,QUAMPO,FR,rightsholder,155
cb0616ab-d4c1-432f-a8cc-ac5fb9881f36,National Trust for Nature Conservation-Gaurishankar Conservation Area Project,NP,organization,156
National Trust for Nature Conservation-Gaurishankar Conservation Area Project,National Trust for Nature Conservation-Gaurishankar Conservation Area Project,NP,rightsholder,157
bcee4a09-bbed-4e39-862f-629de3725602,Fundación Parque Jaime Duque,CO,organization,158
Fundación Parque Jaime Duque,Fundación Parque Jaime Duque,CO,rightsholder,159
a59d7226-3c7e-4f6b-86aa-c11d92c3ab43,Instituto Tartabinhas,BR,organization,160
Instituto Tartabinhas,Instituto Tartabinhas,BR,rightsholder,161
fb4eda75-180a-4b14-9ca1-2daedd498c75,Museo Histórico de Placilla,CL,organization,162
Museo Histórico de Placilla,Museo Histórico de Placilla,CL,rightsholder,163
625b321d-81c7-40e9-b147-02be4c2f8539,Centre for Palaeogenetics,SE,organization,164
Centre for Palaeogenetics,Centre for Palaeogenetics,SE,rightsholder,165
b3e3bb2d-cca7-4c30-9150-f0f2f7945591,Ecoingenieria S.A.E,CO,organization,166
Ecoingenieria S.A.E,Ecoingenieria S.A.E,CO,rightsholder,167
4862c917-4b6d-4282-8153-40532e1e78ee,The Bergius Foundation at the Royal Swedish Academy of Sciences,SE,organization,168
The Bergius Foundation at the Royal Swedish Academy of Sciences,The Bergius Foundation at the Royal Swedish Academy of Sciences,SE,rightsholder,169
ce8ff45e-2b62-4f49-839d-0f3dbcfd0a82,The Bergius Botanic Garden,SE,organization,170
The Bergius Botanic Garden,The Bergius Botanic Garden,SE,rightsholder,171
32baad74-dbe2-4ad9-8388-7533dc41a035,"Marine Science Institute, University of the Philippines",PH,organization,172
"Marine Science Institute, University of the Philippines","Marine Science Institute, University of the Philippines",PH,rightsholder,173
70d06dfa-b032-427c-8adb-5acdaf8e00d3,University of Santo Tomas - Philippine Arachnological Society Inc.,PH,organization,174
University of Santo Tomas - Philippine Arachnological Society Inc.,University of Santo Tomas - Philippine Arachnological Society Inc.,PH,rightsholder,175
d0e4e899-b154-4f85-adfb-fdbf7c8853bc,Departamento Administrativo de Gestión del Medio Ambiente,CO,organization,176
Departamento Administrativo de Gestión del Medio Ambiente,Departamento Administrativo de Gestión del Medio Ambiente,CO,rightsholder,177
4b6e24a5-a41c-4531-9472-7c778ac5b989,Fundación Cataruben,CO,organization,178
